X	Y	Species	Type	Diam	Height	ParamG1
31	65	ABMA	Adult	13.6	0	0
36	60	ABMA	Adult	84.7	0	0
7	68	ABMA	Adult	11	0	0
29	35	ABCO	Adult	18.8	0	0
14	63	ABCO	Adult	3.4	0	0
7	67	ABCO	Adult	33.8	0	0
9	51	ABCO	Adult	18.1	0	0
15	54	ABMA	Adult	12.1	0	0
17	53	ABMA	Adult	38.9	0	0
17.5	53.5	ABMA	Adult	11.7	0	0
20	63	ABCO	Adult	133	0	0
38	59	ABMA	Adult	37.9	0	0
38	61	PIMO	Adult	2.5	0	0
11	80	ABMA	Adult	113.6	0	0
11	80	ABMA	Adult	44.2	0	0
15	90	ABMA	Adult	2.7	0	0
31	55	ABMA	Adult	18.6	0	0
19	70	ABMA	Adult	95.5	0	0
36	50	ABMA	Adult	14.7	0	0
41	67	ABCO	Adult	96.6	0	0
30.5	55.5	ABMA	Adult	11.4	0	0
22	67	ABMA	Adult	85.5	0	0
19.5	58.5	ABCO	Adult	73.2	0	0
36	56	ABMA	Adult	16	0	0
32.5	59.5	ABCO	Adult	2.5	0	0
33	60	ABCO	Adult	7.3	0	0
33	59	ABCO	Adult	17.2	0	0
32.5	58	ABMA	Adult	19.7	0	0
79	3	ABMA	Adult	48.2	0	0
78	0	ABCO	Adult	60.4	0	0
70	3	ABMA	Adult	36.1	0	0
70	5.5	ABMA	Adult	103	0	0
70	6	PIMO	Adult	99.5	0	0
75	14	PICO	Adult	4.4	0	0
78	13	PIMO	Adult	1.9	0	0
58	1	ABMA	Adult	68.5	0	0
60	3	ABMA	Adult	134	0	0
65	1	ABMA	Adult	37.3	0	0
45	6	ABMA	Adult	4.3	0	0
24	4	ABMA	Adult	1.4	0	0
23	19	ABMA	Adult	1	0	0
24	18	ABMA	Adult	1.1	0	0
12	2	ABMA	Adult	1.9	0	0
14.5	2	ABMA	Adult	1.8	0	0
15	4	ABMA	Adult	1.3	0	0
9	17.5	ABMA	Adult	2.3	0	0
19	50	ABCO	Adult	15.3	0	0
19	49	ABMA	Adult	10.2	0	0
37	54	ABCO	Adult	66.1	0	0
16	48	ABMA	Adult	10.7	0	0
17.5	48	ABMA	Adult	2.9	0	0
26	45	ABMA	Adult	23.3	0	0
