X	Y	Species	Type	Diam	Height	ParamG1
69.5	9	ABMA	Adult	6.4	0	0
70	8.5	ABMA	Adult	1.8	0	0
70	8.5	ABMA	Adult	0.9	0	0
66	8	ABCO	Adult	30.4	0	0
63	12	ABCO	Adult	24.4	0	0
60	15	ABMA	Adult	15.4	0	0
69	19	ABCO	Adult	98	0	0
76	18.5	ABMA	Adult	26.7	0	0
78	16	ABCO	Adult	14.4	0	0
78	18	ABCO	Adult	7.2	0	0
78	21	ABMA	Adult	15.9	0	0
78	21.5	ABMA	Adult	38.8	0	0
77	22	ABCO	Adult	8.4	0	0
75	22	ABCO	Adult	7.1	0	0
72	23	ABCO	Adult	87.4	0	0
73	23	ABCO	Adult	1.4	0	0
77	22.5	ABMA	Adult	39.2	0	0
78	24	ABCO	Adult	75	0	0
76	26	ABCO	Adult	57.1	0	0
77	27	ABCO	Adult	5.5	0	0
76	28	ABCO	Adult	100.7	0	0
75	29.5	ABCO	Adult	12.7	0	0
73	31	ABMA	Adult	51.9	0	0
68.5	30.5	ABCO	Adult	66	0	0
60	28	ABCO	Adult	13.7	0	0
64	32	ABCO	Adult	24.1	0	0
75.5	32	ABCO	Adult	34.9	0	0
78	30.5	ABCO	Adult	25.2	0	0
57	48	ABCO	Adult	37.5	0	0
54	50	ABCO	Adult	79.2	0	0
53	48	ABCO	Adult	46.6	0	0
54	47	ABCO	Adult	33.7	0	0
55	49	ABCO	Adult	37.9	0	0
57	51	ABCO	Adult	27.4	0	0
61	54	ABCO	Adult	16.8	0	0
60	58	ABMA	Adult	80.1	0	0
61	61.5	ABCO	Adult	13.2	0	0
49	44	ABCO	Adult	4.1	0	0
47	39	ABCO	Adult	13.4	0	0
47	45	ABCO	Adult	10.3	0	0
47	46	ABCO	Adult	14.8	0	0
42	37	ABCO	Adult	25.9	0	0
42	55	ABCO	Adult	23.3	0	0
30	59	ABMA	Adult	14.4	0	0
28	60	ABCO	Adult	5.6	0	0
16	61	ABCO	Adult	19.2	0	0
12	68	ABCO	Adult	15.2	0	0
37	64	PIJE	Adult	10.1	0	0
40.5	69	ABCO	Adult	49.8	0	0
41	68.5	ABCO	Adult	31.6	0	0
39	70.5	ABCO	Adult	32.9	0	0
38	70.5	ABCO	Adult	83.5	0	0
38	72	ABCO	Adult	5.8	0	0
38.5	72	ABCO	Adult	3.5	0	0
37	68.5	ABMA	Adult	81.9	0	0
34.5	67	ABMA	Adult	3.6	0	0
30.5	70.5	ABCO	Adult	25.4	0	0
30	44	ABCO	Adult	26.1	0	0
29.5	75	ABCO	Adult	18.6	0	0
29	75	ABCO	Adult	48.6	0	0
27.5	76	ABMA	Adult	80.1	0	0
23	74	ABCO	Adult	61.9	0	0
24	76	ABCO	Adult	18.7	0	0
23	77	ABCO	Adult	24	0	0
22	79	ABCO	Adult	83	0	0
23	73	ABCO	Adult	28.4	0	0
68.5	48	ABCO	Adult	79.2	0	0
69.5	48	ABCO	Adult	43.8	0	0
77	45	ABCO	Adult	64.4	0	0
78	52.5	ABCO	Adult	56.8	0	0
77	60	ABCO	Adult	91.9	0	0
62	58	ABCO	Adult	7.4	0	0
65	62.5	ABMA	Adult	1.2	0	0
64	64	ABCO	Adult	2.7	0	0
68	65	ABMA	Adult	5.1	0	0
67	64	ABCO	Adult	1.3	0	0
69.5	66	ABMA	Adult	2.4	0	0
68	66	ABMA	Adult	2.7	0	0
68.5	67	ABMA	Adult	2.7	0	0
70	67	ABMA	Adult	3.9	0	0
70.5	66	ABCO	Adult	4	0	0
72	74	ABMA	Adult	1.1	0	0
68.5	70.5	ABCO	Adult	5	0	0
68.5	69	ABCO	Adult	3.5	0	0
68.5	69	ABCO	Adult	4.3	0	0
64	69	ABCO	Adult	37.4	0	0
64	70.5	ABCO	Adult	3.6	0	0
64.5	71	ABMA	Adult	14.9	0	0
62	72	ABCO	Adult	7.3	0	0
66	72	ABCO	Adult	12.6	0	0
68.5	76	ABMA	Adult	52.7	0	0
70	76	ABCO	Adult	9	0	0
72	75	ABMA	Adult	27.3	0	0
78	76	ABMA	Adult	21.3	0	0
77	79	ABMA	Adult	58	0	0
67	80.5	ABCO	Adult	167	0	0
74	84.5	ABCO	Adult	47.6	0	0
75	86	ABMA	Adult	41.4	0	0
75	86	ABMA	Adult	14.5	0	0
63.5	88	ABMA	Adult	35.2	0	0
63	87	ABMA	Adult	64.3	0	0
