X	Y	Species	Type	Diam	Height	ParamG1
163	67	ABCO	Adult	42.4	0	0
156	73	ABCO	Adult	29	0	0
158.5	69	ABCO	Adult	106.1	0	0
137	40	PIJE	Adult	85.1	0	0
154	72.5	ABCO	Adult	32.5	0	0
152	74	ABCO	Adult	18.6	0	0
163	78	ABCO	Adult	99.2	0	0
119	78.5	ABCO	Adult	53.6	0	0
124	39.5	ABCO	Adult	70	0	0
137	41.5	ABMA	Adult	50.1	0	0
110.5	46.5	ABMA	Adult	56.8	0	0
109	43.5	ABMA	Adult	81.4	0	0
124	70	ABCO	Adult	78.6	0	0
140.5	78	ABCO	Adult	74.2	0	0
137	75	ABCO	Adult	105.8	0	0
138	75	ABCO	Adult	105.7	0	0
130	80	ABCO	Adult	51	0	0
190.5	49	CADE	Adult	28.3	0	0
195	77	ABCO	Adult	56.8	0	0
159	40.5	ABCO	Adult	76.9	0	0
198	75	PILA	Adult	37	0	0
200	73	PILA	Adult	169.3	0	0
167	41.5	ABCO	Adult	22.4	0	0
167	45	CADE	Adult	71.9	0	0
158	42	ABCO	Adult	37.6	0	0
161	45	ABCO	Adult	101.8	0	0
148	54.5	ABCO	Adult	83.6	0	0
140	59	PIJE	Adult	105.8	0	0
145	65	ABCO	Adult	46.7	0	0
155	44.5	ABCO	Adult	37.8	0	0
147	47.5	ABCO	Adult	34.3	0	0
147.5	52	ABCO	Adult	107	0	0
155	46	ABCO	Adult	94	0	0
148.5	52.5	ABCO	Adult	46.9	0	0
147.5	65	ABCO	Adult	34.5	0	0
148	62	ABCO	Adult	18.5	0	0
159	66	ABCO	Adult	94.7	0	0
158	64	ABCO	Adult	105.5	0	0
158	60	ABCO	Adult	41.1	0	0
160	56	ABCO	Adult	59.4	0	0
129.5	46	ABMA	Adult	60.2	0	0
138	50.5	ABCO	Adult	143.3	0	0
151	64	ABCO	Adult	53.5	0	0
157	62	ABCO	Adult	25.5	0	0
161	55	ABCO	Adult	20.8	0	0
161.5	55	ABCO	Adult	39.2	0	0
115	49	ABMA	Adult	71.7	0	0
113	48.5	ABMA	Adult	43.8	0	0
121.5	70	ABMA	Adult	73	0	0
121	70	ABMA	Adult	17.8	0	0
126	77	ABCO	Adult	51	0	0
136	70	ABCO	Adult	109.8	0	0
139	72	ABCO	Adult	121.1	0	0
147	72	ABCO	Adult	22.5	0	0
147.5	72.5	ABCO	Adult	54.6	0	0
157	77	PILA	Adult	45.7	0	0
158	76	ABCO	Adult	20.6	0	0
198.5	0	PIPO	Adult	47.5	0	0
137	9	CADE	Adult	26.8	0	0
158	6	CADE	Adult	21.5	0	0
196	12	CADE	Adult	43.9	0	0
207.5	0.5	ABCO	Adult	69.9	0	0
236	17	ABCO	Adult	113.5	0	0
233	13	ABCO	Adult	105.9	0	0
217.5	0.5	PIPO	Adult	59.8	0	0
219	5	ABCO	Adult	32.3	0	0
226	2	ABCO	Adult	38.8	0	0
228.5	5.5	ABCO	Adult	31.6	0	0
222	8.5	ABCO	Adult	42.9	0	0
234	12.5	ABCO	Adult	98.5	0	0
235	8.5	PIPO	Adult	102.4	0	0
232	2	ABCO	Adult	51.7	0	0
238	1.5	ABCO	Adult	37.4	0	0
240.5	0	ABCO	Adult	59	0	0
247	0.5	ABCO	Adult	28.9	0	0
247.5	2	ABCO	Adult	40.9	0	0
246	7	ABCO	Adult	51.1	0	0
242	10.5	ABCO	Adult	86.2	0	0
241	17	ABCO	Adult	42.7	0	0
251	20.5	CADE	Adult	49.4	0	0
250	9	ABCO	Adult	58.6	0	0
251	4	ABCO	Adult	66.7	0	0
251.5	4	CADE	Adult	56.9	0	0
252	4	ABCO	Adult	32.4	0	0
257	2	ABCO	Adult	50.5	0	0
259.5	2.5	ABCO	Adult	54.6	0	0
260	5.5	ABCO	Adult	24.6	0	0
256	9	ABCO	Adult	33.9	0	0
256	7.5	ABCO	Adult	18.6	0	0
258.5	8	ABCO	Adult	26.3	0	0
209.5	22	ABCO	Adult	128.7	0	0
208	25	ABCO	Adult	109.1	0	0
259	10	CADE	Adult	28.3	0	0
223	29.5	ABCO	Adult	40.4	0	0
233.5	31	ABCO	Adult	54	0	0
233	30	ABCO	Adult	61.3	0	0
237	31	ABCO	Adult	86.9	0	0
