X	Y	Species	Type	Diam	Height	ParamG1
106.5	5	QUKE	Adult	5.3	0	0
106	3	PIPO	Adult	9.6	0	0
102	9	QUKE	Adult	10.2	0	0
103	9	QUKE	Adult	11.7	0	0
104	10	QUKE	Adult	3.7	0	0
106	11	CADE	Adult	8.1	0	0
105	12.5	PILA	Adult	7.1	0	0
105	15	PIPO	Adult	15.5	0	0
102	18	ABCO	Adult	17.3	0	0
100	17	ABCO	Adult	14.7	0	0
100.5	17	PIPO	Adult	6.6	0	0
103.5	19	ABCO	Adult	6.8	0	0
105	20	PIPO	Adult	3.9	0	0
108	18	PILA	Adult	7	0	0
108.5	18	PILA	Adult	5.9	0	0
108.5	10	QUKE	Adult	3	0	0
108	9	PIPO	Adult	9.8	0	0
107	7.5	PIPO	Adult	10.2	0	0
109	6	PIPO	Adult	15.6	0	0
104.5	8	QUKE	Adult	2.5	0	0
104	7.5	QUKE	Adult	1.8	0	0
104	8	QUKE	Adult	2.5	0	0
105	10	QUKE	Adult	3.6	0	0
105	11	QUKE	Adult	2.6	0	0
113	7	QUKE	Adult	2.4	0	0
106	11.5	PIPO	Adult	99	0	0
106.5	0	PIPO	Adult	7.2	0	0
106.5	3	PIPO	Adult	4.1	0	0
117	4.5	CADE	Adult	63	0	0
117	5.5	PILA	Adult	7.7	0	0
117.5	5.5	ABCO	Adult	7.4	0	0
118	5	PIPO	Adult	1.3	0	0
117	6	PILA	Adult	2.4	0	0
111.5	10	QUKE	Adult	6.5	0	0
113	9	PIPO	Adult	1.4	0	0
112.5	8.5	QUKE	Adult	5.1	0	0
112	9	QUKE	Adult	4.9	0	0
111	9	QUKE	Adult	8.8	0	0
110.5	9	QUKE	Adult	3.1	0	0
110	9	QUKE	Adult	3.5	0	0
110	8	QUKE	Adult	5.3	0	0
109.5	9	QUKE	Adult	5.5	0	0
109.5	9.5	QUKE	Adult	2.8	0	0
107	15	QUKE	Adult	2	0	0
114	20	ABCO	Adult	40.8	0	0
118.5	19	ABCO	Adult	32.4	0	0
116	30	ABCO	Adult	35.6	0	0
111	24	ABCO	Adult	48.8	0	0
121	35	ABCO	Adult	63.6	0	0
110	35	ABCO	Adult	52.7	0	0
108.5	49	ABCO	Adult	21.5	0	0
109	46	ABCO	Adult	62.1	0	0
112	54	PIPO	Adult	60.6	0	0
113	58.5	ABCO	Adult	69.2	0	0
120	50	ABCO	Adult	29.1	0	0
120	48	QUKE	Adult	34.8	0	0
136	59.5	ABCO	Adult	18.2	0	0
146	23	ABCO	Adult	32.9	0	0
142	25	PILA	Adult	19.7	0	0
120	39.5	ABCO	Adult	32.1	0	0
126	49	ABCO	Adult	63.2	0	0
140.5	32	ABCO	Adult	51.4	0	0
130	57	PILA	Adult	72.3	0	0
123	43	PILA	Adult	42.1	0	0
128	39	ABCO	Adult	45.7	0	0
129	44	ABCO	Adult	74.7	0	0
135	43	ABCO	Adult	58.8	0	0
120	42	ABCO	Adult	48.9	0	0
120	42.5	ABCO	Adult	31.8	0	0
147	23	ABCO	Adult	44.4	0	0
158	20	ABCO	Adult	61.2	0	0
159	22	ABCO	Adult	50.2	0	0
146	28.5	PILA	Adult	45.5	0	0
147.5	25	ABCO	Adult	63.8	0	0
156	31	ABCO	Adult	48.7	0	0
148	39.5	ABCO	Adult	76.5	0	0
118	67	ABCO	Adult	74.5	0	0
161	56	ABCO	Adult	59	0	0
170	60	PIPO	Adult	27.2	0	0
173	60	PIPO	Adult	74.9	0	0
173	61.5	PIPO	Adult	17	0	0
170.5	66	PIPO	Adult	30.7	0	0
